date,tmin
2013-01-01,38.677371705909344
2013-01-02,37.362907885662345
2013-01-03,34.30897481097374
2013-01-04,33.42155451866194
2013-01-05,36.82956370808469
2013-01-06,37.51204486005797
2013-01-07,39.377620913164456
2013-01-08,36.99680087998746
2013-01-09,37.842413995922776
2013-01-10,40.69748816229136
2013-01-11,42.447232124189405
2013-01-12,40.19513889154685
2013-01-13,41.04980080499427
2013-01-14,39.71036232636221
2013-01-15,34.03881415442227
2013-01-16,33.98240587056087
2013-01-17,39.029276729657404
2013-01-18,40.651088574965506
2013-01-19,40.562434039210366
2013-01-20,40.520659699010636
2013-01-21,31.881471931281304
2013-01-22,31.804404994879302
2013-01-23,30.168756311287474
2013-01-24,32.87998449769432
2013-01-25,30.502928090891036
2013-01-26,30.26860790513818
2013-01-27,39.717552772134425
2013-01-28,38.4189599331507
2013-01-29,
2013-01-30,
2013-01-31,
2013-02-01,38.50927101355357
2013-02-02,35.38379360947967
2013-02-03,33.64919057988021
2013-02-04,36.297417332425546
2013-02-05,39.716641108559024
2013-02-06,39.79117803414191
2013-02-07,42.421294923013356
2013-02-08,36.5269951962916
2013-02-09,35.574370651924575
2013-02-10,36.48004821567833
2013-02-11,31.89717920861664
2013-02-12,40.10218949464407
2013-02-13,37.87861547294097
2013-02-14,37.53196581184889
2013-02-15,40.283884776685774
2013-02-16,38.21233601872942
2013-02-17,37.50910020298628
2013-02-18,40.05771679486715
2013-02-19,35.891924586665525
2013-02-20,42.01523959768775
2013-02-21,44.868607719887216
2013-02-22,46.051240294264076
2013-02-23,45.412112037335646
2013-02-24,41.975096565166986
2013-02-25,38.55529082085819
2013-02-26,37.653939061155896
2013-02-27,38.2964087108279
2013-02-28,36.59053458684514
2013-02-29,
2013-02-30,
2013-02-31,
2013-03-01,36.75562118307576
2013-03-02,40.56206845712537
2013-03-03,43.97902998850362
2013-03-04,44.12967523989021
2013-03-05,39.21238283264608
2013-03-06,44.32795822104418
2013-03-07,44.81302626702104
2013-03-08,41.344872865568746
2013-03-09,40.175474420952135
2013-03-10,41.4443809469097
2013-03-11,42.89300096507598
2013-03-12,43.8902220930705
2013-03-13,43.92758323577832
2013-03-14,45.85914862871462
2013-03-15,51.81110858853311
2013-03-16,48.760606428616846
2013-03-17,51.64772075674584
2013-03-18,54.487465271970244
2013-03-19,47.52658644615438
2013-03-20,41.0882939044995
2013-03-21,46.07215788957371
2013-03-22,43.65876484008055
2013-03-23,46.78246712631835
2013-03-24,43.224464790877065
2013-03-25,47.13776471853179
2013-03-26,49.68833953317735
2013-03-27,52.27175825106242
2013-03-28,62.10369201000595
2013-03-29,
2013-03-30,
2013-03-31,
2013-04-01,52.17500106042017
2013-04-02,64.73977718139375
2013-04-03,58.82744867454001
2013-04-04,48.22629243436778
2013-04-05,53.84162021769421
2013-04-06,58.04347766234039
2013-04-07,60.88891018203494
2013-04-08,61.21243075198753
2013-04-09,61.04438476042242
2013-04-10,64.96481782740288
2013-04-11,65.84967126333417
2013-04-12,57.41949082488432
2013-04-13,52.64569699400935
2013-04-14,55.56343385454018
2013-04-15,55.369986244640295
2013-04-16,52.84055728041554
2013-04-17,58.36650645949156
2013-04-18,63.42060547316171
2013-04-19,61.28023922643371
2013-04-20,61.94417551737874
2013-04-21,61.660867817936456
2013-04-22,60.66485760391813
2013-04-23,70.88793425571968
2013-04-24,68.90011011935522
2013-04-25,64.53948270306678
2013-04-26,59.07566395126441
2013-04-27,61.98447781362343
2013-04-28,68.18186121518808
2013-04-29,
2013-04-30,
2013-04-31,
2013-05-01,66.95102234256224
2013-05-02,65.30793573044667
2013-05-03,73.11458105352436
2013-05-04,72.01845205313342
2013-05-05,69.25709649881297
2013-05-06,68.39944174758769
2013-05-07,75.72238916616368
2013-05-08,75.90566975782582
2013-05-09,71.88597612313312
2013-05-10,68.04700745476075
2013-05-11,64.87169466336339
2013-05-12,69.8478576863667
2013-05-13,61.08554716275042
2013-05-14,61.11258086175542
2013-05-15,60.41294446921136
2013-05-16,65.43885713462606
2013-05-17,67.62207159685346
2013-05-18,74.47195872738884
2013-05-19,70.72949626458845
2013-05-20,70.34389308983906
2013-05-21,67.52677030919573
2013-05-22,67.27700853065646
2013-05-23,66.13987053247378
2013-05-24,65.40200586789877
2013-05-25,66.2408293433762
2013-05-26,64.77715911349472
2013-05-27,64.62463598433575
2013-05-28,66.28570190219807
2013-05-29,
2013-05-30,
2013-05-31,
2013-06-01,68.15688712066463
2013-06-02,68.34909741110575
2013-06-03,68.74415122011965
2013-06-04,71.18270548143916
2013-06-05,69.85276287269305
2013-06-06,73.13711441136677
2013-06-07,74.63714932979137
2013-06-08,73.12725255515008
2013-06-09,77.9735107279946
2013-06-10,76.10087560706471
2013-06-11,74.88696789507316
2013-06-12,77.1904131772386
2013-06-13,77.09081447973665
2013-06-14,82.3249452077507
2013-06-15,73.6183965269277
2013-06-16,76.08404991761697
2013-06-17,75.41187464202662
2013-06-18,77.18096071708499
2013-06-19,77.35513988970061
2013-06-20,76.16719933654439
2013-06-21,74.58693334022368
2013-06-22,80.41461717694956
2013-06-23,77.9709028676137
2013-06-24,74.83261434797916
2013-06-25,80.62059667701142
2013-06-26,81.05063822767079
2013-06-27,78.12165186609099
2013-06-28,75.54338924033601
2013-06-29,
2013-06-30,
2013-06-31,
2013-07-01,82.87093293307451
2013-07-02,79.4765010050961
2013-07-03,77.31026707661714
2013-07-04,75.37141462514947
2013-07-05,84.2419933462626
2013-07-06,85.46857794207448
2013-07-07,85.0821814649237
2013-07-08,81.9189642806078
