date,tmin
2013-01-01,21.23020266559415
2013-01-02,27.333010545637265
2013-01-03,20.531184003439623
2013-01-04,19.165318646303195
2013-01-05,15.150099690410025
2013-01-06,16.245546412060634
2013-01-07,13.693232760323728
2013-01-08,19.882208382655453
2013-01-09,24.13745243527241
2013-01-10,16.63708885377893
2013-01-11,17.394208868949583
2013-01-12,14.772308207979126
2013-01-13,17.774927418223463
2013-01-14,9.86034060278768
2013-01-15,9.19249991465608
2013-01-16,14.476860366623328
2013-01-17,14.159721434168286
2013-01-18,18.040446769537763
2013-01-19,21.5630145454618
2013-01-20,21.038582519862
2013-01-21,21.781088063833
2013-01-22,16.88816072136937
2013-01-23,16.57615642704963
2013-01-24,17.520775564215327
2013-01-25,19.23662566394164
2013-01-26,19.642293271135106
2013-01-27,22.160674770931678
2013-01-28,16.65532873578522
2013-01-29,
2013-01-30,
2013-01-31,
2013-02-01,19.11664621658897
2013-02-02,19.504799423928784
2013-02-03,18.341309167604184
2013-02-04,17.415792811107266
2013-02-05,20.007275982771663
2013-02-06,20.50656690469475
2013-02-07,22.92064279416736
2013-02-08,28.01807475220863
2013-02-09,36.89568252314263
2013-02-10,25.94956787255701
2013-02-11,22.428182412208987
2013-02-12,18.540176662580613
2013-02-13,23.59924588151747
2013-02-14,31.932355643529988
2013-02-15,30.51884166727745
2013-02-16,26.95943473785245
2013-02-17,31.97685666023273
2013-02-18,22.83121521754473
2013-02-19,29.475108327308988
2013-02-20,21.68370128259125
2013-02-21,23.67149466831672
2013-02-22,26.152237528620482
2013-02-23,25.374821399484556
2013-02-24,28.372401223181704
2013-02-25,29.730700022434128
2013-02-26,31.462457684238878
2013-02-27,23.108091119371448
2013-02-28,32.386170207216075
2013-02-29,
2013-02-30,
2013-02-31,
2013-03-01,24.49438099540573
2013-03-02,29.826438506032254
2013-03-03,27.86050710221486
2013-03-04,23.94261033612105
2013-03-05,23.164224847682352
2013-03-06,26.053055965943088
2013-03-07,36.59148472030632
2013-03-08,34.84647551433656
2013-03-09,28.981686748064856
2013-03-10,27.86512258155487
2013-03-11,28.93931792071848
2013-03-12,34.15685636117044
2013-03-13,35.98717491624951
2013-03-14,34.47374457325059
2013-03-15,35.168088027359445
2013-03-16,27.440025290837635
2013-03-17,20.195027851184975
2013-03-18,29.85773503685297
2013-03-19,31.51654859895687
2013-03-20,31.132457038518186
2013-03-21,32.675892654904985
2013-03-22,44.04240249118423
2013-03-23,34.95495587879571
2013-03-24,33.35442956100119
2013-03-25,37.05542395350072
2013-03-26,36.5750788138474
2013-03-27,39.81383046728365
2013-03-28,34.455568250269806
2013-03-29,
2013-03-30,
2013-03-31,
2013-04-01,30.18170087852687
2013-04-02,32.04196835980728
2013-04-03,33.073817428030296
2013-04-04,41.968105419308905
2013-04-05,37.012858454733454
2013-04-06,38.7252030660216
2013-04-07,36.013893471015294
2013-04-08,33.460822163917996
2013-04-09,32.98358025767571
2013-04-10,35.59643037975168
2013-04-11,35.706510195346326
2013-04-12,34.326529777848634
2013-04-13,33.53807013533993
2013-04-14,32.565664719080125
2013-04-15,41.98966321021288
2013-04-16,44.68319593553986
2013-04-17,42.425440258558176
2013-04-18,34.45757803516533
2013-04-19,35.95538759616456
2013-04-20,35.80531290690699
2013-04-21,36.542727622061356
2013-04-22,40.046778305286665
2013-04-23,45.84768720037554
2013-04-24,46.6374429931505
2013-04-25,44.54913023705957
2013-04-26,39.274356886433175
2013-04-27,40.224971312790814
2013-04-28,35.1480390963937
2013-04-29,
2013-04-30,
2013-04-31,
2013-05-01,42.376829296564935
2013-05-02,37.94846149913185
2013-05-03,38.61126472114968
2013-05-04,41.84667272593732
2013-05-05,39.05173149414936
2013-05-06,48.330307994709166
2013-05-07,36.704684319838904
2013-05-08,38.745736776264295
2013-05-09,43.001104390409814
2013-05-10,45.68620665315496
2013-05-11,38.033333398925436
2013-05-12,46.07838639209179
2013-05-13,43.06146118556213
2013-05-14,43.6686309994339
2013-05-15,48.96161117111982
2013-05-16,54.66170606057107
2013-05-17,46.69450372175597
2013-05-18,43.87103370990086
2013-05-19,54.13676711798328
2013-05-20,55.18086177804285
2013-05-21,53.60204264831457
2013-05-22,55.028106585365286
2013-05-23,53.951648686384104
2013-05-24,55.21893046133655
2013-05-25,52.3605780732649
2013-05-26,56.69043222419075
2013-05-27,54.15867733209016
2013-05-28,52.76542442336442
2013-05-29,
2013-05-30,
2013-05-31,
2013-06-01,46.20307455937142
2013-06-02,53.01211906086913
2013-06-03,50.135101773046344
2013-06-04,56.27498487135961
2013-06-05,49.66146995787831
2013-06-06,51.887519480233
2013-06-07,46.727519797583895
2013-06-08,51.47617379225785
2013-06-09,57.99807009243479
2013-06-10,59.695171392817315
2013-06-11,54.04048083303466
2013-06-12,59.45569339722202
2013-06-13,55.89320048890993
2013-06-14,51.493642562383
2013-06-15,53.98270603995516
2013-06-16,55.3718658070005
2013-06-17,52.85960821363484
2013-06-18,54.86881739252625
2013-06-19,52.87347440299034
2013-06-20,53.05901196252675
2013-06-21,55.479519667939435
2013-06-22,53.01709986034666
2013-06-23,49.96893898303933
2013-06-24,54.29530944298796
2013-06-25,46.707694118045474
2013-06-26,51.63600453655177
2013-06-27,55.832697558066386
2013-06-28,58.01346533193996
2013-06-29,
2013-06-30,
2013-06-31,
2013-07-01,51.36837005705988
2013-07-02,60.44495936849793
2013-07-03,50.89527288452813
2013-07-04,54.50194827664814
2013-07-05,49.93140867289682
2013-07-06,48.737112011040715
2013-07-07,50.64254596972498
2013-07-08,53.64095495826388
