date,tmin
2013-01-01,34.92108649934804
2013-01-02,28.71555509137267
2013-01-03,33.29721985838037
2013-01-04,26.8961240638962
2013-01-05,23.80330168144009
2013-01-06,36.731539283715726
2013-01-07,28.84152148388685
2013-01-08,33.82556030460733
2013-01-09,35.571897138361614
2013-01-10,32.51386407885669
2013-01-11,34.70645573203246
2013-01-12,33.30247288916397
2013-01-13,36.49779962188328
2013-01-14,37.95834705619589
2013-01-15,34.4348487454208
2013-01-16,33.41912715649825
2013-01-17,35.68101351615052
2013-01-18,40.88102572796638
2013-01-19,41.80238608558425
2013-01-20,34.823615652305456
2013-01-21,29.23117150311728
2013-01-22,25.36926596848465
2013-01-23,19.62651621625421
2013-01-24,22.64852046911129
2013-01-25,22.881551740811034
2013-01-26,25.23286626419489
2013-01-27,28.976616837658984
2013-01-28,36.92831532656796
2013-01-29,
2013-01-30,
2013-01-31,
2013-02-01,32.762231328936004
2013-02-02,24.391062670714078
2013-02-03,24.628099599184303
2013-02-04,26.124196738540807
2013-02-05,42.83044477040964
2013-02-06,41.466709031728506
2013-02-07,27.735997742853584
2013-02-08,25.38387571717853
2013-02-09,25.45362917902732
2013-02-10,30.73372380688488
2013-02-11,27.28588541291036
2013-02-12,39.18366357403689
2013-02-13,40.53174072553601
2013-02-14,35.626883819652356
2013-02-15,37.20935314692522
2013-02-16,36.27313959809833
2013-02-17,35.6000333149743
2013-02-18,25.89979187411568
2013-02-19,25.220454491707287
2013-02-20,31.2116956186511
2013-02-21,40.88833949695109
2013-02-22,45.913652072839525
2013-02-23,40.04432912982236
2013-02-24,34.051933948372266
2013-02-25,34.36081976493406
2013-02-26,30.77098863139924
2013-02-27,28.215050098041548
2013-02-28,34.10353629888309
2013-02-29,
2013-02-30,
2013-02-31,
2013-03-01,39.87836507769029
2013-03-02,39.152148708514964
2013-03-03,36.51619621930001
2013-03-04,39.325740770124185
2013-03-05,40.10464868640077
2013-03-06,34.89593217970423
2013-03-07,38.61924198285275
2013-03-08,37.98787695214722
2013-03-09,37.57017623608832
2013-03-10,31.59258030508668
2013-03-11,35.495308786585554
2013-03-12,32.370595801391985
2013-03-13,35.60891723965028
2013-03-14,42.794767069346435
2013-03-15,43.64212462266059
2013-03-16,47.25576116139222
2013-03-17,43.20043527417521
2013-03-18,46.55385214639989
2013-03-19,38.583691442242866
2013-03-20,40.49796572106587
2013-03-21,35.72104344222308
2013-03-22,43.83701497829779
2013-03-23,40.87717911408546
2013-03-24,36.317189903849844
2013-03-25,43.456102555771636
2013-03-26,46.716992944560175
2013-03-27,44.55679747804963
2013-03-28,49.42249236301176
2013-03-29,
2013-03-30,
2013-03-31,
2013-04-01,46.66600868664439
2013-04-02,55.12299331562297
2013-04-03,45.62092542434537
2013-04-04,44.77591066194238
2013-04-05,47.5170119439561
2013-04-06,49.60548835556878
2013-04-07,55.71334332992519
2013-04-08,56.62364678219564
2013-04-09,59.852569545604105
2013-04-10,61.10871222007652
2013-04-11,61.214233115112975
2013-04-12,57.662720169643634
2013-04-13,57.49532326409656
2013-04-14,48.02073208837954
2013-04-15,62.117130034519604
2013-04-16,56.11745071621454
2013-04-17,51.258532241299676
2013-04-18,58.449659422542716
2013-04-19,61.582379301402426
2013-04-20,62.51771311183814
2013-04-21,55.18229449113396
2013-04-22,51.54238202174263
2013-04-23,60.82278055117049
2013-04-24,67.97783717925894
2013-04-25,60.57619856517057
2013-04-26,53.885398901127004
2013-04-27,58.74503178849749
2013-04-28,63.50274338611278
2013-04-29,
2013-04-30,
2013-04-31,
2013-05-01,60.61037443586242
2013-05-02,58.81289953950829
2013-05-03,62.03773267877457
2013-05-04,65.54974813228333
2013-05-05,58.69565007813121
2013-05-06,65.33535027073083
2013-05-07,69.03245060831625
2013-05-08,68.88006643771274
2013-05-09,60.12449442473674
2013-05-10,62.24231316547578
2013-05-11,61.34960852193132
2013-05-12,71.35804110475195
2013-05-13,65.88931693308218
2013-05-14,64.22444343823538
2013-05-15,55.55741148492704
2013-05-16,64.08588849538968
2013-05-17,63.568505153714206
2013-05-18,71.5857027611732
2013-05-19,58.752071670336456
2013-05-20,61.98117217429077
2013-05-21,58.99221296595419
2013-05-22,56.57313386817161
2013-05-23,65.99936959528367
2013-05-24,66.14876305987839
2013-05-25,65.93249470221993
2013-05-26,69.00336100226585
2013-05-27,68.95907584712819
2013-05-28,62.40674235747491
2013-05-29,
2013-05-30,
2013-05-31,
2013-06-01,67.00949828454426
2013-06-02,62.659516371584644
2013-06-03,64.54585260139753
2013-06-04,68.42224749843096
2013-06-05,71.52335851082564
2013-06-06,70.7075312109981
2013-06-07,71.83253475969553
2013-06-08,75.76418865420037
2013-06-09,81.19936922553133
2013-06-10,76.43984680205504
2013-06-11,75.10848343554085
2013-06-12,75.88432208452558
2013-06-13,73.15415779602064
2013-06-14,69.41698765522203
2013-06-15,75.09657312390051
2013-06-16,71.11951692238404
2013-06-17,74.8520404525125
2013-06-18,75.17420258558087
2013-06-19,69.75874625548508
2013-06-20,70.1947487173363
2013-06-21,71.04614872085092
2013-06-22,70.65681781825403
2013-06-23,72.01540827037623
2013-06-24,70.59650367076847
2013-06-25,72.6245713801188
2013-06-26,73.09614266389073
2013-06-27,62.973691852881096
2013-06-28,75.256714816749
2013-06-29,
2013-06-30,
2013-06-31,
2013-07-01,77.04365768935415
2013-07-02,75.90917039201891
2013-07-03,74.39876702274877
2013-07-04,73.81710540415563
2013-07-05,86.81595464710794
2013-07-06,84.38845815194846
2013-07-07,76.81577906468313
2013-07-08,79.8522145284109
