date,tmin
2013-01-01,24.83844471864072
2013-01-02,21.19494430838061
2013-01-03,21.906171118576044
2013-01-04,16.967750893105034
2013-01-05,19.177050237608906
2013-01-06,23.086592829471225
2013-01-07,24.237626436123485
2013-01-08,29.484729166384266
2013-01-09,25.960073975419636
2013-01-10,28.18548995092584
2013-01-11,20.329776520898985
2013-01-12,23.58704266655485
2013-01-13,24.360266623842346
2013-01-14,25.27828188806869
2013-01-15,24.781863551194267
2013-01-16,29.960034385188152
2013-01-17,32.66655722429733
2013-01-18,32.281244496178694
2013-01-19,32.95014226922951
2013-01-20,25.949234192618192
2013-01-21,18.555848872907365
2013-01-22,14.821385882482096
2013-01-23,14.673924816551436
2013-01-24,18.93028100822768
2013-01-25,16.900547060218887
2013-01-26,26.13916426675935
2013-01-27,26.194618950852927
2013-01-28,28.50229010197988
2013-01-29,
2013-01-30,
2013-01-31,
2013-02-01,21.783680081720252
2013-02-02,14.213637716063992
2013-02-03,20.582706681103502
2013-02-04,27.336071032247077
2013-02-05,32.40103145428681
2013-02-06,27.290996505879328
2013-02-07,16.019395512763147
2013-02-08,18.164240897283328
2013-02-09,21.05093461752827
2013-02-10,24.710881783777804
2013-02-11,23.503093743328403
2013-02-12,28.589382006576447
2013-02-13,25.37440954440505
2013-02-14,28.62969326732204
2013-02-15,30.108086287226076
2013-02-16,28.62321470434243
2013-02-17,20.398362169625315
2013-02-18,19.602625689911648
2013-02-19,26.125507028524908
2013-02-20,35.48382290965842
2013-02-21,38.483703151100016
2013-02-22,44.87032989016777
2013-02-23,31.15694078833743
2013-02-24,25.600977378690487
2013-02-25,31.874244917859702
2013-02-26,25.95817887446178
2013-02-27,28.933949819797363
2013-02-28,31.982335797278925
2013-02-29,
2013-02-30,
2013-02-31,
2013-03-01,37.47374370251988
2013-03-02,30.83669608826928
2013-03-03,31.604272319225913
2013-03-04,31.781556843235048
2013-03-05,32.103142363725425
2013-03-06,30.39602372897261
2013-03-07,30.99829556813351
2013-03-08,35.14716453771223
2013-03-09,31.92004625119278
2013-03-10,35.1826391792457
2013-03-11,25.92461910891634
2013-03-12,23.78322626062041
2013-03-13,38.749075553025094
2013-03-14,43.6153531575084
2013-03-15,42.22239849167449
2013-03-16,39.06272245054719
2013-03-17,39.045981427127906
2013-03-18,27.04475493855152
2013-03-19,29.101446052741252
2013-03-20,36.09205577864018
2013-03-21,38.128569303525545
2013-03-22,40.002394238084
2013-03-23,38.06420145569844
2013-03-24,33.15811384832498
2013-03-25,41.427898456059324
2013-03-26,42.08795499852972
2013-03-27,51.900273790658815
2013-03-28,46.44678671806211
2013-03-29,
2013-03-30,
2013-03-31,
2013-04-01,46.081933733512315
2013-04-02,33.292807114540665
2013-04-03,32.69306090871249
2013-04-04,53.01982194600147
2013-04-05,50.91420240048409
2013-04-06,49.49910272613623
2013-04-07,55.73859411754259
2013-04-08,65.01799859720586
2013-04-09,68.83390934203628
2013-04-10,56.173749760118895
2013-04-11,46.300019250424576
2013-04-12,45.49157166760554
2013-04-13,48.68408281975254
2013-04-14,57.21927170003704
2013-04-15,61.53002452712413
2013-04-16,52.309601369536686
2013-04-17,57.31169048859096
2013-04-18,60.94086343205868
2013-04-19,61.36238057793643
2013-04-20,60.155759608906145
2013-04-21,55.529171443600426
2013-04-22,51.95526952435331
2013-04-23,65.12877935311997
2013-04-24,54.45281140439618
2013-04-25,52.09308384534565
2013-04-26,47.74573309874158
2013-04-27,67.00148129630095
2013-04-28,59.73850491214746
2013-04-29,
2013-04-30,
2013-04-31,
2013-05-01,58.093254186146936
2013-05-02,62.64630142998007
2013-05-03,66.09666490823237
2013-05-04,64.36365315048867
2013-05-05,66.54124100488036
2013-05-06,60.01753331737115
2013-05-07,87.1728205024094
2013-05-08,66.02173028554786
2013-05-09,60.54542979854808
2013-05-10,73.54949803381255
2013-05-11,68.66209725424798
2013-05-12,62.28830028097454
2013-05-13,55.81589075823208
2013-05-14,65.38706262526439
2013-05-15,60.740763669566356
2013-05-16,62.380375321635256
2013-05-17,61.316402587260676
2013-05-18,71.3359155215889
2013-05-19,71.20432748785856
2013-05-20,70.01896641079398
2013-05-21,64.50321833465546
2013-05-22,63.20430229620807
2013-05-23,64.86572773996541
2013-05-24,59.559024410047435
2013-05-25,58.98984611199396
2013-05-26,70.74914729703194
2013-05-27,69.4799266237505
2013-05-28,76.01083861169295
2013-05-29,
2013-05-30,
2013-05-31,
2013-06-01,75.02942107756691
2013-06-02,73.07777202363235
2013-06-03,75.35252375427994
2013-06-04,72.83767038279764
2013-06-05,74.53243600248351
2013-06-06,76.64675860774541
2013-06-07,65.6926825589804
2013-06-08,70.98973603964774
2013-06-09,66.38486357356685
2013-06-10,67.07935843869592
2013-06-11,59.522819438037736
2013-06-12,75.56998839067364
2013-06-13,77.87484452993905
2013-06-14,63.70953788060989
2013-06-15,65.16195139952875
2013-06-16,67.24301014254543
2013-06-17,76.3197720200957
2013-06-18,73.5934840642903
2013-06-19,74.72137987854977
2013-06-20,75.74735398702562
2013-06-21,77.07398741787621
2013-06-22,73.7726946637638
2013-06-23,80.28399244735006
2013-06-24,73.9722316857529
2013-06-25,77.20440760660485
2013-06-26,79.44851929491101
2013-06-27,68.97485483978078
2013-06-28,78.18258044695509
2013-06-29,
2013-06-30,
2013-06-31,
2013-07-01,76.47723026924079
2013-07-02,72.21019756176733
2013-07-03,79.11435489495274
2013-07-04,70.70034242971428
2013-07-05,68.17170696237308
2013-07-06,67.58845518200947
2013-07-07,71.28939109270453
2013-07-08,74.0048275035224
