date,tmax
2013-01-01,6.519414727647155
2013-01-02,8.641224513142474
2013-01-03,9.26903273045136
2013-01-04,4.026724326826604
2013-01-05,10.217845955211347
2013-01-06,13.057363016672873
2013-01-07,15.801476060113066
2013-01-08,17.159831953997212
2013-01-09,4.748811118021597
2013-01-10,1.0322213161129694
2013-01-11,3.0595197418721214
2013-01-12,9.353180183504158
2013-01-13,7.237867295185063
2013-01-14,5.458736956241803
2013-01-15,12.633153386020876
2013-01-16,13.608234155974095
2013-01-17,13.374506766496935
2013-01-18,11.570175638971088
2013-01-19,14.70827088056948
2013-01-20,10.30901770143494
2013-01-21,2.950433418661078
2013-01-22,0.11655059464909065
2013-01-23,1.99548051882513
2013-01-24,5.077725275866976
2013-01-25,5.8480091203159175
2013-01-26,11.040559399377846
2013-01-27,9.804340945309844
2013-01-28,9.057151300718214
2013-01-29,
2013-01-30,
2013-01-31,
2013-02-01,2.9239681650106064
2013-02-02,7.9642211080210625
2013-02-03,13.758972323142038
2013-02-04,15.313738728274178
2013-02-05,18.791256286777333
2013-02-06,21.2717334897612
2013-02-07,10.014579131109342
2013-02-08,10.26599820094834
2013-02-09,18.371560504182625
2013-02-10,8.966877159815132
2013-02-11,11.913076546009169
2013-02-12,19.92970339289816
2013-02-13,27.892505384695536
2013-02-14,15.770102821108992
2013-02-15,14.823342072902156
2013-02-16,13.547697522914824
2013-02-17,13.716806961326814
2013-02-18,19.88653255464657
2013-02-19,22.63020575429676
2013-02-20,15.433525914243148
2013-02-21,21.66401809289948
2013-02-22,17.650261237083317
2013-02-23,24.967972972787113
2013-02-24,29.60353864571085
2013-02-25,15.885910176880634
2013-02-26,16.678756780387477
2013-02-27,30.440061426383053
2013-02-28,34.291481669671114
2013-02-29,
2013-02-30,
2013-02-31,
2013-03-01,27.512829734609127
2013-03-02,23.908737072446538
2013-03-03,31.89072078259659
2013-03-04,27.03270266457548
2013-03-05,32.57396369968818
2013-03-06,24.600692838660674
2013-03-07,27.909528420862745
2013-03-08,24.043349555137816
2013-03-09,31.77220060291049
2013-03-10,21.548232546546675
2013-03-11,19.20881677883533
2013-03-12,24.73151158298779
2013-03-13,41.89696609393229
2013-03-14,32.785389503752555
2013-03-15,49.64631446037642
2013-03-16,40.50100173157856
2013-03-17,34.79171408301184
2013-03-18,24.812142955701656
2013-03-19,27.17036845022063
2013-03-20,32.647971258819126
2013-03-21,45.85574476084963
2013-03-22,55.75577895680318
2013-03-23,45.98516573177693
2013-03-24,31.414387360550087
2013-03-25,21.450442598741137
2013-03-26,48.30012590805975
2013-03-27,38.50552950701585
2013-03-28,54.6798314448445
2013-03-29,
2013-03-30,
2013-03-31,
2013-04-01,47.20930252645086
2013-04-02,39.828731741121615
2013-04-03,45.77670025092583
2013-04-04,45.71208441312614
2013-04-05,46.10171180104045
2013-04-06,41.362909523881704
2013-04-07,50.04267737752962
2013-04-08,46.75401393882037
2013-04-09,60.300350802877766
2013-04-10,82.14288457532942
2013-04-11,48.19185460267002
2013-04-12,47.96891821656579
2013-04-13,61.73753555283408
2013-04-14,58.05188429112953
2013-04-15,44.481957687211924
2013-04-16,47.75900197536848
2013-04-17,66.24202790893087
2013-04-18,72.295519957455
2013-04-19,75.934313540856
2013-04-20,65.33121006598344
2013-04-21,70.0682528737379
2013-04-22,62.82776686005122
2013-04-23,57.98072649896445
2013-04-24,71.50586534739736
2013-04-25,49.673347105084936
2013-04-26,62.34887204614397
2013-04-27,45.412029612282545
2013-04-28,57.63557398052772
2013-04-29,
2013-04-30,
2013-04-31,
2013-05-01,66.95198866325023
2013-05-02,78.81795818690121
2013-05-03,77.9772000580912
2013-05-04,62.187685498698464
2013-05-05,62.736114101413506
2013-05-06,49.568771815743524
2013-05-07,61.942439554857074
2013-05-08,69.58285406743045
2013-05-09,66.48368324091382
2013-05-10,78.6611192055606
2013-05-11,94.20459315849553
2013-05-12,79.09122765965897
2013-05-13,68.73171798394146
2013-05-14,75.19639889448091
2013-05-15,66.06495879655624
2013-05-16,58.82355881733938
2013-05-17,72.02857662887556
2013-05-18,81.55765280116663
2013-05-19,80.44630675834173
2013-05-20,83.15414135003606
2013-05-21,90.12031154554391
2013-05-22,101.57088430559698
2013-05-23,73.99324533379604
2013-05-24,69.38274567263497
2013-05-25,89.90253721854137
2013-05-26,66.00147646177145
2013-05-27,68.87468214891479
2013-05-28,66.44196583917844
2013-05-29,
2013-05-30,
2013-05-31,
2013-06-01,106.16059584541536
2013-06-02,76.98581672113858
2013-06-03,68.59145169020869
2013-06-04,71.29194968321168
2013-06-05,59.7115561182798
2013-06-06,85.85540942197477
2013-06-07,81.02872263109346
2013-06-08,89.43613886893539
2013-06-09,83.52250849209149
2013-06-10,66.41034341021194
2013-06-11,67.73386774455221
2013-06-12,77.5651830678069
2013-06-13,85.98262049064915
2013-06-14,68.00700628681963
2013-06-15,88.79739052253063
2013-06-16,77.7289381817775
2013-06-17,77.93928374679228
2013-06-18,76.3731848947213
2013-06-19,80.63040214114542
2013-06-20,82.36898791077418
2013-06-21,82.05527649014365
2013-06-22,90.57590057135646
2013-06-23,80.99354451708672
2013-06-24,84.12106815064257
2013-06-25,130.97104231946676
2013-06-26,82.57017878522329
2013-06-27,110.95797174014703
2013-06-28,92.7691729945912
2013-06-29,
2013-06-30,
2013-06-31,
2013-07-01,88.29141627107609
2013-07-02,75.72250742673769
2013-07-03,74.16217179651392
2013-07-04,71.7063404915814
2013-07-05,88.90383784195194
2013-07-06,90.6863176974144
2013-07-07,88.97472931656635
2013-07-08,88.20567174857769
