date,tmax
2013-01-01,57.021370976285475
2013-01-02,54.442803528532416
2013-01-03,49.059909046933136
2013-01-04,49.886929511837465
2013-01-05,43.19283897366033
2013-01-06,51.805399336775764
2013-01-07,52.43545826074582
2013-01-08,51.78644043195237
2013-01-09,54.36698091533994
2013-01-10,61.98212189260509
2013-01-11,49.36429607210965
2013-01-12,48.56940987774131
2013-01-13,54.902071250102395
2013-01-14,56.815698085360786
2013-01-15,53.50533761704722
2013-01-16,56.972589970273724
2013-01-17,60.69720035049229
2013-01-18,68.77755810513737
2013-01-19,58.16836728742346
2013-01-20,53.154273889633416
2013-01-21,49.72501767713533
2013-01-22,47.452810742011756
2013-01-23,46.85953234595335
2013-01-24,42.7144456986757
2013-01-25,44.80533343285296
2013-01-26,47.650108749803714
2013-01-27,51.39886784656412
2013-01-28,57.19966091940582
2013-01-29,
2013-01-30,
2013-01-31,
2013-02-01,61.940340404322995
2013-02-02,56.56196654919531
2013-02-03,53.55714535258493
2013-02-04,48.843174330180425
2013-02-05,70.16111134626446
2013-02-06,73.32604494333512
2013-02-07,64.69623928189183
2013-02-08,50.10066832467854
2013-02-09,47.06538314909171
2013-02-10,51.873511162154855
2013-02-11,45.70076821890301
2013-02-12,54.77273052166911
2013-02-13,78.81875067471819
2013-02-14,73.5416500709467
2013-02-15,57.63444968557531
2013-02-16,51.068517771739366
2013-02-17,47.51757859420971
2013-02-18,51.74212947259842
2013-02-19,55.279661653901556
2013-02-20,57.265533027329596
2013-02-21,78.02696859569309
2013-02-22,75.69551651066396
2013-02-23,70.192843599217
2013-02-24,56.40903829120518
2013-02-25,54.236766086230155
2013-02-26,48.47104437682985
2013-02-27,45.71261880049243
2013-02-28,55.762453620218345
2013-02-29,
2013-02-30,
2013-02-31,
2013-03-01,66.35736609598337
2013-03-02,57.45501300495211
2013-03-03,54.08468172600377
2013-03-04,69.79945912323322
2013-03-05,65.48783112235469
2013-03-06,63.55939838526145
2013-03-07,55.56810190147871
2013-03-08,54.3585073808838
2013-03-09,52.14108298188859
2013-03-10,54.72636801558052
2013-03-11,57.25918913825912
2013-03-12,51.9910115533736
2013-03-13,49.348840246486795
2013-03-14,59.75705562535897
2013-03-15,74.65785918186387
2013-03-16,80.20532198653147
2013-03-17,85.59473205104979
2013-03-18,88.85333684983934
2013-03-19,62.91587354398402
2013-03-20,57.07492929464483
2013-03-21,58.67243951365325
2013-03-22,76.71157482730476
2013-03-23,82.17133188821546
2013-03-24,66.4350694436515
2013-03-25,69.69688260027333
2013-03-26,72.57150006472875
2013-03-27,74.99339955276696
2013-03-28,78.15637369906845
2013-03-29,
2013-03-30,
2013-03-31,
2013-04-01,74.28622356424269
2013-04-02,86.57282737470852
2013-04-03,80.38178998106599
2013-04-04,71.77527925559015
2013-04-05,65.79959287934527
2013-04-06,66.83374182444896
2013-04-07,78.24751734242777
2013-04-08,65.59383046542547
2013-04-09,67.99113629215721
2013-04-10,85.55555635208727
2013-04-11,93.27828291464088
2013-04-12,74.55986525980097
2013-04-13,82.88119082698674
2013-04-14,78.64768391619019
2013-04-15,77.0581692705801
2013-04-16,65.08561751729704
2013-04-17,73.38287716371674
2013-04-18,69.25051424375748
2013-04-19,78.2846974533196
2013-04-20,71.88411780208124
2013-04-21,80.61878957180167
2013-04-22,82.69830408126052
2013-04-23,82.82131557442938
2013-04-24,79.17794292351051
2013-04-25,84.29446524203736
2013-04-26,74.72065512583984
2013-04-27,68.52493993057483
2013-04-28,75.48375147728257
2013-04-29,
2013-04-30,
2013-04-31,
2013-05-01,83.77855615046545
2013-05-02,77.5974086927901
2013-05-03,75.63029070853331
2013-05-04,68.16702105614527
2013-05-05,82.70424021929658
2013-05-06,88.5067958259053
2013-05-07,84.86472170192515
2013-05-08,95.14519200273098
2013-05-09,80.56918698772327
2013-05-10,71.8199139861541
2013-05-11,78.70035790513406
2013-05-12,81.68936713095047
2013-05-13,80.55905246480297
2013-05-14,89.03198246830496
2013-05-15,75.4227373370463
2013-05-16,77.83706859250236
2013-05-17,82.00888553118453
2013-05-18,85.82643594428501
2013-05-19,83.78836619698548
2013-05-20,76.95060240262211
2013-05-21,79.17965468582163
2013-05-22,83.53966405334475
2013-05-23,86.40284773338475
2013-05-24,89.00494479428352
2013-05-25,84.97667014047066
2013-05-26,80.17561159311097
2013-05-27,71.6219230275736
2013-05-28,79.98410337390162
2013-05-29,
2013-05-30,
2013-05-31,
2013-06-01,86.05980547627962
2013-06-02,81.42807024003844
2013-06-03,81.91587131466626
2013-06-04,90.42348258777358
2013-06-05,86.51982357500799
2013-06-06,81.6361662212293
2013-06-07,95.39611246690059
2013-06-08,98.3091861789468
2013-06-09,89.97053007169502
2013-06-10,92.27743901447235
2013-06-11,95.33117949935377
2013-06-12,79.29716581151287
2013-06-13,83.728930220279
2013-06-14,77.2502681891673
2013-06-15,89.29946045138391
2013-06-16,80.5528434646084
2013-06-17,88.92726192948334
2013-06-18,91.0536898625904
2013-06-19,87.00108267829519
2013-06-20,77.0190024983948
2013-06-21,90.810574697753
2013-06-22,78.2843526153264
2013-06-23,92.06631150085545
2013-06-24,89.95608143004732
2013-06-25,91.72400459635094
2013-06-26,96.393839996275
2013-06-27,89.6963473161815
2013-06-28,90.50378598285636
2013-06-29,
2013-06-30,
2013-06-31,
2013-07-01,93.67084908216995
2013-07-02,96.9736174087095
2013-07-03,96.89222110164921
2013-07-04,95.86896543633274
2013-07-05,97.15765064077608
2013-07-06,99.99952976640469
2013-07-07,98.23341535021791
2013-07-08,98.7985713744394
