,0
2012-12-01,
2013-01-01,18.750059523216578
2013-02-01,14.758325481263006
2013-03-01,30.348531593351616
2013-04-01,62.17878393879062
2013-05-01,80.99395270242822
2013-06-01,72.88593720267194
2013-07-01,84.08231394976616
2013-08-01,77.30297681950645
2013-09-01,85.59264194388368
2013-10-01,68.08947981847753
2013-11-01,44.08731604987387
2013-12-01,35.199061754250984
2014-01-01,19.134037964495604
2014-02-01,14.491140983368409
2014-03-01,30.85232539303148
2014-04-01,61.26308536989935
2014-05-01,82.08411071394465
2014-06-01,72.01304465462265
2014-07-01,85.00021218494909
2014-08-01,76.5503088488901
2014-09-01,86.35066527558457
2014-10-01,67.55060762209237
2014-11-01,44.40412639347951
2014-12-01,34.97267002487959
2015-01-01,19.24562138962885
2015-02-01,14.415406275855304
2015-03-01,30.99835581364787
2015-04-01,61.00294679986615
2015-05-01,82.39948157598548
2015-06-01,71.76462243081698
2015-07-01,85.26532197678416
2015-08-01,76.33578923038364
2015-09-01,86.56931260322031
2015-10-01,67.39684044138745
2015-11-01,44.4954111880334
2015-12-01,34.908007002065744
2016-01-01,19.27774490623287
2016-02-01,14.393757693811908
2016-03-01,31.04036667554551
2016-04-01,60.92853966943697
2016-05-01,82.4901575010334
2016-06-01,71.69352992888646
2016-07-01,85.34151144177336
2016-08-01,76.27437317894875
2016-09-01,86.63212565076894
2016-10-01,67.35280260967114
2016-11-01,44.521627486891425
2016-12-01,34.88948286554351
2017-01-01,19.28696824596483
2017-02-01,14.387554596084637
2017-03-01,31.052426449253094
2017-04-01,60.907215474077745
2017-05-01,82.5161829635411
2017-06-01,71.67315265934636
2017-07-01,85.36337614768024
2017-08-01,76.25676736402748
2017-09-01,86.65014967183694
2017-10-01,67.34017728847672
2017-11-01,44.52914951786745
2017-12-01,34.88417171263374
2018-01-01,19.28961443592234
2018-02-01,14.385775959058488
2018-03-01,31.055886216271404
2018-04-01,60.90110079042527
2018-05-01,82.52364892520679
2018-06-01,71.66730925805098
2018-07-01,85.36964826793107
2018-08-01,76.25171853363274
2018-09-01,86.6553198912182
2018-10-01,67.33655661627819
2018-11-01,44.53130717025981
2018-12-01,34.882648553002966
2019-01-01,19.290373465164716
2019-02-01,14.38526586303406
2019-03-01,31.056878594302454
2019-04-01,60.89934713164013
2019-05-01,82.52579038632173
2019-06-01,71.66563338126109
2019-07-01,85.37144727994063
2019-08-01,76.2502705240477
2019-09-01,86.65680283538387
2019-10-01,67.33551819557306
2019-11-01,44.53192603276997
2019-12-01,34.88221170296694
2020-01-01,19.290591170292753
2020-02-01,14.385119564091662
2020-03-01,31.05716322728681
2020-04-01,60.89884416844645
2020-05-01,82.52640459592139
2020-06-01,71.66515272488468
2020-07-01,85.37196326735297
2020-08-01,76.24985522083917
2020-09-01,86.6572281680493
2020-10-01,67.33522036574837
2020-11-01,44.5321035323026
2020-12-01,34.882086409613684
2021-01-01,19.290653611453614
2021-02-01,14.385077603896367
2021-03-01,31.057244864269236
2021-04-01,60.898699912722954
2021-05-01,82.52658076019426
2021-06-01,71.66501486687943
2021-07-01,85.37211125993656
2021-08-01,76.24973610680861
2021-09-01,86.65735015946329
2021-10-01,67.33513494446227
2021-11-01,44.53215444164459
